image_width,image_height,n_bboxes,n_segmentations,n_pdf_cells,bbox_area_frac_mean,bbox_area_frac_median,bbox_aspect_ratio_mean,bbox_aspect_ratio_median,bbox_width_mean,bbox_height_mean,cell_chars_mean,cell_words_mean,category_ids
1025,1025,8,8,139,0.057886017773372565,0.0035900717780577096,16.15412716965089,13.585432549422462,363.3255930011633,86.82660065903991,11.29496402877698,1.7194244604316546,"[8, 8, 10, 9, 9, 10, 6, 6]"
1025,1025,14,14,149,0.03514867463722003,0.030009797357857693,3.3218679390161014,2.6298615144740323,282.05035240701164,133.68564383974305,24.59731543624161,4.147651006711409,"[6, 10, 10, 10, 10, 10, 8, 10, 10, 10, 9, 10, 10, 5]"
1025,1025,14,14,74,0.02980710673370826,0.026278342711732502,8.676716381075613,5.685275940547655,365.20260612745096,80.20883098845597,47.608108108108105,7.1891891891891895,"[8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5]"
1025,1025,3,3,28,0.04596618872307462,0.005421317843595267,3.148647255421452,3.259493414252115,183.86589466901304,145.65797946915959,18.5,3.2142857142857144,"[10, 9, 8]"
1025,1025,8,8,86,0.07623993066117524,0.08125391452175397,4.813989518956012,1.9999024121207607,380.1589640467172,185.72149276485789,36.44186046511628,6.023255813953488,"[8, 10, 10, 10, 10, 10, 10, 5]"
1025,1025,12,12,183,0.034841802231155725,0.01669832947856973,22.426507278392886,20.838453141092543,538.6669164797742,51.82743754661745,12.502732240437158,2.3060109289617485,"[6, 6, 8, 10, 8, 9, 9, 4, 4, 10, 4, 4]"
1025,1025,9,9,79,0.06712303088049815,0.024951281262958747,13.892303502195196,12.860952347670269,601.1988510947306,94.8374240846347,29.531645569620252,5.025316455696203,"[6, 8, 10, 10, 10, 5, 9, 9, 4]"
1025,1025,10,10,146,0.036310423656963124,0.015021518633335606,16.650256942223137,11.751825141035564,429.5862990755042,68.66465045357157,15.486301369863014,2.636986301369863,"[10, 10, 10, 10, 10, 8, 8, 9, 9, 5]"
1025,1025,3,3,5,0.07740868319995103,0.027136359899953583,15.659927805293819,9.27450980392155,515.2841274592024,117.03018534175106,5.8,3.4,"[11, 7, 7]"
1025,1025,5,5,52,0.07368650866669549,0.010760356268568022,17.29580683537838,14.841051314142709,466.0583886221173,104.16363815192742,12.673076923076923,2.076923076923077,"[10, 7, 8, 9, 5]"
1025,1025,14,14,43,0.032935822702806844,0.009435814267315738,15.585084787975147,11.261006123884666,498.0089193107268,50.91309036054878,93.0,13.511627906976743,"[6, 8, 10, 10, 10, 7, 10, 10, 10, 8, 10, 10, 10, 5]"
1025,1025,4,4,192,0.10094165704522497,0.0435150824626885,16.569513320312044,14.49505957722673,522.7266470115296,139.42922029551505,8.828125,1.3385416666666667,"[10, 10, 9, 9]"
1025,1025,13,13,75,0.03382039257268966,0.03348588004816319,5.448241901300103,3.7292358561041774,306.28034120180496,104.20448733836635,47.93333333333333,7.386666666666667,"[10, 10, 7, 10, 10, 10, 10, 10, 10, 5, 8, 8, 10]"
1025,1025,9,9,98,0.05915550413816354,0.03453654326556003,16.262713847448854,11.967151697382848,646.5014686679614,73.69137695894098,31.653061224489797,5.173469387755102,"[9, 10, 10, 9, 10, 10, 8, 5, 5]"
1025,1025,1,1,1,0.006642332501840163,0.006642332501840163,15.867847864550663,15.867847864550663,332.7692479575163,20.97129054916985,22.0,4.0,[10]
1025,1025,21,21,118,0.02257734139674334,0.02458100395730115,5.883958013810981,4.845413482728214,330.8978175206194,68.3444121091871,37.30508474576271,6.084745762711864,"[10, 10, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5]"
1025,1025,4,4,24,0.011344340819838619,0.005771343314021605,7.392089517873235,6.489612760750005,239.58916087103964,44.299065601951526,2.7916666666666665,1.5,"[11, 11, 10, 7]"
1025,1025,11,11,43,0.037479148363822316,0.02648585843309774,6.9716855162762785,2.937000703492755,397.14678642990475,97.92265802173542,40.83720930232558,6.488372093023256,"[7, 7, 7, 1, 1, 10, 10, 10, 10, 8, 5]"
1025,1025,11,11,51,0.06179520795205859,0.02461229142524697,12.512789496899211,4.89260221114009,422.8149235777291,118.80751291565163,50.705882352941174,7.882352941176471,"[7, 8, 10, 10, 10, 10, 10, 10, 10, 1, 6]"
1025,1025,1,1,1,0.9991413811235623,0.9991413811235623,1.0017857142857143,1.0017857142857143,1025.4742408981797,1023.6463010748319,2.0,1.0,[7]
1025,1025,55,55,125,0.009012202719394584,0.001464749946008911,10.559622403675679,8.5109102140101,158.06775643155567,22.82697332725697,10.648,1.744,"[8, 8, 8, 8, 8, 8, 8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 10, 10, 5, 8, 7, 10]"
1025,1025,5,5,8,0.0118374609146579,0.009327788415385863,18.194313397995554,12.030095553278306,353.8955798087796,52.92373329957811,23.5,3.5,"[7, 10, 10, 5, 7]"
1025,1025,3,3,181,0.1431734836300427,0.009749357891052274,23.966101259730383,13.171758427407818,597.7961300825192,169.35093140091843,7.895027624309392,1.6298342541436464,"[6, 8, 9]"
1025,1025,3,3,203,0.2434487973890025,0.0027795410318943916,9.398673082239782,1.433720832984864,390.8748747969477,297.6608502746411,7.389162561576355,1.3300492610837438,"[5, 5, 9]"
1025,1025,10,10,140,0.01976201508457757,0.0020408050677594054,2.713992678686046,2.113283130218772,148.22009285117414,62.107236089899935,2.107142857142857,1.0642857142857143,"[9, 7, 7, 7, 10, 10, 10, 10, 10, 10]"
1025,1025,3,3,2,0.003344665428982941,0.0036896715437673856,11.82496931388797,12.358688678668406,185.16252410994494,25.327827735022478,27.5,4.0,"[7, 10, 10]"
1025,1025,4,4,65,0.058897980024691904,0.00646124331517906,20.28781330778228,20.58669230411952,434.7985995318645,138.12351461230367,10.661538461538461,1.7538461538461538,"[6, 6, 9, 10]"
1025,1025,13,13,59,0.02788005574711803,0.027758327594625088,11.129394788631503,5.6297909537866495,355.23234420095974,71.57994058572731,49.016949152542374,7.898305084745763,"[6, 7, 10, 8, 10, 10, 10, 10, 10, 10, 10, 5, 5]"
1025,1025,14,14,253,0.024677536434979698,0.014937613846407405,14.123960606752487,8.794504598822886,342.8396926104917,66.4135445595186,9.33201581027668,1.8735177865612649,"[6, 8, 10, 10, 10, 9, 9, 9, 9, 10, 5, 10, 10, 10]"
1025,1025,4,4,94,0.11916858610693483,0.00368736724903449,4.939778022689008,2.2736892286377968,262.8524870927571,200.15490009616656,16.829787234042552,2.4468085106382977,"[9, 10, 5, 8]"
1025,1025,12,12,41,0.03984085678046339,0.018630849120205926,12.576035893454653,10.79985077241221,520.6354230425346,110.75978502314815,101.41463414634147,16.0,"[6, 10, 10, 10, 10, 10, 10, 8, 8, 8, 8, 6]"
1025,1025,18,18,95,0.030573064433152577,0.02150452838585261,24.24916868395243,19.443123126216445,632.9988539798954,40.578597545033226,43.11578947368421,7.136842105263158,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5, 8, 8, 8, 8, 9, 6]"
1025,1025,12,12,33,0.05668164741976004,0.025808289961823903,9.830747411239438,8.7978196205268,504.26760371132536,103.0614852956353,57.54545454545455,10.606060606060606,"[11, 11, 8, 8, 8, 10, 10, 10, 10, 10, 7, 7]"
1025,1025,15,15,118,0.03123477048390916,0.023708677092223154,7.696179455620567,6.971083200078621,288.227790766461,111.89975364197532,42.82203389830509,6.432203389830509,"[6, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8]"
1025,1025,17,17,36,0.015554002402608392,0.009036697118241264,15.561167143170692,17.495045620914976,420.5693672759152,32.36238156004198,50.05555555555556,6.805555555555555,"[8, 8, 8, 1, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 7, 7, 1]"
1025,1025,4,4,20,0.15207401109916735,0.14590969566092302,4.59924580081704,4.613152538186383,827.692450318779,190.45118141075662,69.6,10.5,"[10, 10, 10, 7]"
1025,1025,12,12,138,0.04125407994219764,0.022486493938062204,18.80918864792071,12.120772659699231,616.5134257233487,67.48101107403473,24.94927536231884,5.050724637681159,"[10, 9, 10, 9, 10, 10, 10, 10, 9, 10, 10, 5]"
1025,1025,2,2,5,0.01968417383826676,0.01968417383826676,4.206398292810518,4.206398292810518,294.64102328431375,71.51639900568179,23.4,4.0,"[10, 10]"
1025,1025,16,16,71,0.03179716885362665,0.03184830748371322,18.69300568456667,19.31470282934447,649.0125770846564,43.87790120714559,62.04225352112676,10.154929577464788,"[6, 10, 10, 10, 10, 4, 4, 4, 4, 4, 4, 4, 5, 8, 8, 9]"
1025,1025,11,11,87,0.04199924174802123,0.02263378085425944,15.720588982829353,10.966799477917935,543.2249124056564,66.12506094461426,32.59770114942529,5.540229885057471,"[9, 9, 10, 10, 10, 10, 10, 10, 8, 5, 6]"
1025,1025,14,14,142,0.032487087563943313,0.02656934928278388,5.465284077719017,3.666485364199973,322.2653174496523,98.29942366845339,32.57746478873239,5.267605633802817,"[10, 10, 4, 4, 4, 9, 4, 4, 4, 4, 9, 10, 4, 5]"
1025,1025,10,10,56,0.04605373083747966,0.03237042088940391,9.096041849997263,3.982079787646236,376.13390275459375,165.03795044014973,28.017857142857142,5.125,"[8, 10, 10, 10, 10, 10, 10, 10, 5, 7]"
1025,1025,1,1,0,0.9169135692021191,0.9169135692021191,1.0164293537787514,1.0164293537787514,989.5247577056709,973.5302842513765,,,[7]
1025,1025,10,10,131,0.03724652849710772,0.03108667134588193,11.729251157130923,12.771140483073047,498.6978153761785,64.59850634396994,21.977099236641223,3.1068702290076335,"[6, 8, 10, 9, 10, 10, 10, 8, 9, 5]"
1025,1025,19,19,141,0.028006668613950677,0.029571317327491596,5.209230440894086,2.6887595830753646,255.98565206708898,103.59628616680588,37.99290780141844,5.914893617021277,"[6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 8]"
1025,1025,5,5,7,0.08775751405696566,0.006373869461689332,10.055035824741902,11.663214677600092,381.3123114228667,122.3971213464536,7.571428571428571,1.4285714285714286,"[7, 11, 10, 10, 7]"
1025,1025,6,6,189,0.11145030916324646,0.0017197070550512951,23.895140981218944,18.066266613677193,349.3218236546188,144.21568654965552,8.968253968253968,1.3227513227513228,"[6, 6, 6, 8, 10, 9]"
1025,1025,11,11,123,0.051449339031446654,0.005524002855123677,19.108691170328346,20.00839063374026,482.5074664043716,68.13361461958121,14.333333333333334,2.4552845528455283,"[6, 8, 10, 9, 9, 8, 10, 9, 8, 10, 5]"
1025,1025,10,10,599,0.025156249711644835,0.018650997929264664,9.146504271476372,5.427736447990148,345.7818298174169,72.02712495895567,2.0968280467445743,1.1202003338898163,"[8, 8, 10, 10, 10, 5, 5, 7, 7, 10]"
1025,1025,12,12,86,0.04476043874332952,0.0364516928847777,28.529796090729402,17.16148129893186,773.7231859959692,57.361267683238005,45.33720930232558,7.313953488372093,"[9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 6]"
1025,1025,18,18,97,0.025367221873443094,0.02164894926503935,6.789139793820257,4.7829843203942595,287.1172473375931,78.51559566444293,52.78350515463917,7.618556701030927,"[8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 8, 5]"
1025,1025,4,4,352,0.16724634261438934,0.002850935081146794,15.214945305876729,14.536502258832787,356.1827093277928,221.11786488148527,8.690340909090908,1.4517045454545454,"[6, 10, 10, 9]"
1025,1025,21,21,155,0.022605406151225083,0.010544868016434405,12.177605534622494,10.092736064931257,329.13095367962603,65.13295713613822,20.26451612903226,3.535483870967742,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5, 8, 8, 8, 8, 8, 7, 7, 9]"
1025,1025,13,13,19,0.005052247954641134,0.004049323190728434,18.57092859835445,8.99260948574676,284.4583117395313,19.70757838284579,30.894736842105264,5.2105263157894735,"[7, 7, 7, 1, 1, 10, 8, 10, 4, 4, 4, 4, 5]"
1025,1025,17,17,83,0.03004795731284359,0.027300604137671325,7.595308730496311,5.754434080334846,354.3950057333718,78.5582385028595,48.46987951807229,8.27710843373494,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 5]"
1025,1025,25,25,217,0.024477428097493446,0.004049637274459791,20.311779900724908,15.065784091962358,429.61991170191914,38.00734633468075,14.861751152073733,2.4516129032258065,"[8, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 9, 10, 10, 10, 10, 4, 4, 4, 4, 4, 5, 8]"
1025,1025,18,18,153,0.025934237984557615,0.025497530514673794,4.734304616507703,2.595267569671609,259.3215442538127,98.38417893518519,23.555555555555557,3.843137254901961,"[10, 10, 10, 10, 10, 8, 8, 10, 10, 10, 5, 10, 10, 10, 10, 10, 10, 10]"
1025,1025,8,8,60,0.03754843596044091,0.008913626296317532,9.909819981733941,11.222130845907582,318.47989258491765,85.03286855407853,24.05,4.333333333333333,"[10, 10, 8, 8, 8, 9, 10, 8]"
1025,1025,15,15,56,0.01947704658172856,0.009249521956416236,24.580604411048718,21.208020546075495,545.226295536897,30.50991283443556,37.714285714285715,6.339285714285714,"[8, 8, 8, 4, 4, 4, 4, 4, 4, 10, 10, 10, 10, 9, 5]"
1025,1025,13,13,98,0.038037869378378046,0.0180828260886259,12.678499668924427,10.587020981007525,476.3734275576413,54.649308460816286,40.91836734693877,6.295918367346939,"[10, 8, 9, 10, 10, 10, 10, 10, 8, 8, 8, 6, 8]"
1025,1025,29,29,117,0.01400108233734306,0.004261973941744676,13.058689452508114,7.52291208490277,264.37326478388405,43.713948719709684,42.58119658119658,6.478632478632479,"[8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 4, 4, 4, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 10]"
1025,1025,13,13,94,0.03591416994826173,0.04604356180910963,5.038722748165804,3.118778103218744,315.95886662629425,98.07734189789811,39.51063829787234,6.361702127659575,"[10, 10, 10, 10, 10, 10, 10, 10, 8, 8, 8, 9, 5]"
1025,1025,11,11,56,0.03581069441742836,0.030182641442622605,5.6749662570434385,4.971196213171575,395.76908819973124,87.19901628978704,53.285714285714285,8.75,"[8, 10, 10, 10, 10, 10, 10, 10, 10, 8, 5]"
1025,1025,3,3,10,0.281140603542417,0.017954975333399348,4.320266643194667,5.744570148627939,561.1097139690122,313.63471197935377,38.8,5.3,"[10, 10, 7]"
1025,1025,3,3,6,0.01595328519299057,0.016138833282268755,4.103564774274502,3.44305484236402,250.93882459686304,72.14599548449183,8.166666666666666,1.3333333333333333,"[11, 11, 7]"
1025,1025,5,5,95,0.0851489511200635,0.00553522909861401,13.90300913004356,10.266304533562112,434.02863185065416,110.12140164237435,11.76842105263158,1.768421052631579,"[6, 8, 9, 10, 5]"
1025,1025,15,15,124,0.03430740803310923,0.021408236043734836,17.623114186917846,14.389150537435219,621.2485426106923,48.82276747053777,29.774193548387096,4.838709677419355,"[10, 9, 10, 10, 10, 10, 10, 10, 10, 10, 5, 8, 8, 9, 6]"
1025,1025,24,24,260,0.013302945731295262,0.00290293344597167,10.207205737684172,8.75283775403018,187.99637614251898,68.12550397371537,16.93076923076923,2.546153846153846,"[8, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 9, 9, 9, 9, 6, 6, 6, 6, 10, 9]"
1025,1025,10,10,108,0.06621581934010176,0.07230196164827557,7.050750696245916,2.240864749357444,398.2974411805556,168.6102594949495,54.898148148148145,8.564814814814815,"[8, 10, 10, 10, 10, 10, 10, 10, 10, 5]"
1025,1025,12,12,144,0.052721082700400074,0.030541695930797315,18.038403155712302,15.33705664197363,734.2735676861976,64.1746143874315,25.48611111111111,4.145833333333333,"[10, 10, 10, 10, 10, 10, 10, 5, 9, 8, 10, 6]"
1025,1025,16,16,89,0.027905473385986472,0.03009550395124422,3.6315807615155853,3.3748096305907733,269.32320399956365,86.89312579611922,47.438202247191015,7.51685393258427,"[10, 10, 10, 10, 10, 10, 5, 8, 1, 5, 10, 10, 10, 10, 10, 7]"
1025,1025,16,16,164,0.03706486804833015,0.02171755434126574,7.232273890679686,3.903215013246937,313.2293504240515,97.25400467864256,30.109756097560975,4.896341463414634,"[10, 10, 10, 10, 10, 10, 10, 10, 5, 8, 8, 8, 8, 8, 9, 9]"
1025,1025,1,1,1,0.004231142432869523,0.004231142432869523,11.392629226367426,11.392629226367426,225.04256527777773,19.75334760802474,15.0,3.0,[10]
1025,1025,7,7,73,0.06506236908315761,0.050025762526038534,9.008492141320131,3.0226624519908563,407.7321157212885,169.75627705176768,51.42465753424658,8.356164383561644,"[8, 5, 10, 10, 10, 10, 10]"
1025,1025,12,12,77,0.03597687575406914,0.03167765519043535,14.31607695880595,8.639863926085807,538.7803990881829,60.0509580200166,40.532467532467535,6.402597402597403,"[6, 10, 8, 10, 10, 10, 10, 10, 9, 9, 10, 5]"
1025,1025,9,9,41,0.01901175846892349,0.004733027461718576,23.93049576763729,15.40867176401983,458.3747959168021,32.193183855544106,33.65853658536585,5.926829268292683,"[8, 8, 10, 10, 10, 10, 10, 9, 5]"
1025,1025,9,9,477,0.08172030906723778,0.09976522203865623,20.063307908048095,2.9438706780422086,480.79057668196896,179.07247364564464,6.70230607966457,1.3186582809224319,"[8, 8, 8, 5, 9, 9, 9, 9, 9]"
1025,1025,3,3,38,0.021969375844458974,0.009019584552245606,11.96118060925743,14.113043553114503,352.1382095860566,59.21705882786191,3.026315789473684,1.4210526315789473,"[6, 5, 8]"
1025,1025,12,12,131,0.030304765142414054,0.01648173011930145,17.093994905980225,12.771147845488034,500.58601130611964,46.65063454553402,24.282442748091604,2.8473282442748094,"[10, 10, 5, 10, 10, 8, 8, 8, 8, 9, 10, 6]"
1025,1025,14,14,60,0.03922005501102357,0.03922307946660052,7.142383556347283,2.549955809199096,274.8238835106906,124.24731312719616,44.53333333333333,7.283333333333333,"[6, 7, 7, 7, 1, 1, 1, 8, 10, 10, 10, 10, 10, 6]"
1025,1025,15,15,85,0.026229179466514888,0.028281888151608866,7.0753336380626495,5.338075078295204,295.9942250242262,79.39936257938189,40.11764705882353,6.564705882352941,"[8, 10, 10, 8, 10, 10, 10, 10, 10, 8, 8, 10, 10, 7, 7]"
1025,1025,11,11,111,0.04221617176758327,0.02494472319945048,27.766455479321596,28.917681972331756,711.3513587094606,52.480124950083834,21.52252252252252,3.7117117117117115,"[10, 10, 10, 10, 8, 10, 9, 9, 10, 10, 5]"
1025,1025,9,9,89,0.04849909569355329,0.012323373819875628,15.228807084580113,7.06855983772819,465.82258685927513,84.99111068876434,42.8876404494382,12.808988764044944,"[10, 10, 10, 10, 10, 8, 9, 9, 5]"
1025,1025,14,14,72,0.03312489039308733,0.024053190765499013,6.793940609096795,2.402645817239976,279.29880389838416,103.86965724997717,42.72222222222222,6.569444444444445,"[10, 10, 10, 10, 1, 7, 10, 10, 8, 10, 10, 5, 1, 7]"
1025,1025,10,10,65,0.025639621459645257,0.0015403946856277623,14.374318936827379,15.73417015408316,204.77980118880186,70.3059311813035,17.06153846153846,2.5384615384615383,"[6, 6, 6, 8, 10, 8, 8, 9, 9, 10]"
1025,1025,4,4,158,0.13093081687706706,0.004422961876828638,19.29006905970702,15.2703185559812,397.36320260258844,189.84944263576148,12.981012658227849,2.221518987341772,"[8, 10, 9, 6]"
1025,1025,14,14,40,0.007829295156752089,0.004836775665750423,10.29013128411899,6.6521892567397405,207.60140173103918,32.64557838083369,22.45,3.525,"[11, 7, 10, 10, 8, 8, 8, 8, 10, 10, 10, 10, 10, 10]"
1025,1025,2,2,17,0.008663714308785896,0.008663714308785896,65.13601477535852,65.13601477535852,769.9209664593698,11.802392608556836,10.764705882352942,1.7058823529411764,"[10, 10]"
1025,1025,12,12,73,0.04386953692457255,0.0158839620981474,16.414381628088616,10.42325450924918,541.6598946444731,59.28073716453738,50.6986301369863,7.6438356164383565,"[6, 10, 10, 10, 10, 10, 10, 8, 8, 8, 5, 9]"
1025,1025,4,4,86,0.16669963011511596,0.013028308405797266,10.725098107355057,4.661673188852916,454.53544818235406,218.41637604402544,12.616279069767442,1.8488372093023255,"[8, 5, 10, 9]"
1025,1025,4,4,7,0.12323920672323517,0.038551138996019564,3.470127965280648,3.128384310116629,432.76287562915473,162.14270937747781,56.142857142857146,8.285714285714286,"[5, 10, 10, 7]"
1025,1025,11,11,107,0.047637568916222055,0.04208481092771774,6.48847534252894,3.0706419492129338,330.1412542335116,134.57049460514233,45.35514018691589,6.355140186915888,"[6, 6, 10, 10, 10, 10, 10, 10, 10, 10, 8]"
1025,1025,12,12,90,0.054630832362845695,0.028082075025225327,4.192055522372542,2.407198444923475,276.1329026077363,185.01711451912232,39.36666666666667,6.2555555555555555,"[8, 8, 8, 10, 10, 10, 10, 10, 5, 7, 1, 6]"
1025,1025,3,3,26,0.06451712066190433,0.007235588054440833,14.220304478237088,17.60547935609756,387.3965168218445,133.40060750033402,20.692307692307693,2.8846153846153846,"[8, 9, 5]"
1025,1025,11,11,124,0.04289910333971589,0.03584821910381217,5.966402353540218,3.1858690367748355,335.347736901391,114.73165833270232,29.06451612903226,4.483870967741935,"[10, 10, 10, 10, 10, 10, 10, 8, 9, 9, 5]"
1025,1025,14,14,48,0.033790831962385366,0.03455357059075256,14.602300988039378,16.543242378159817,650.202978513072,48.04778084190116,75.39583333333333,12.625,"[6, 8, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 5]"
1025,1025,12,12,47,0.028889236571913984,0.034876194992682685,4.407345947816549,4.1642528030166535,307.3026460985041,87.62100222987947,50.1063829787234,8.680851063829786,"[7, 7, 10, 10, 10, 10, 10, 10, 10, 5, 8, 8]"
1025,1025,3,3,4,0.04219622393957024,0.03130744269541567,5.282564144883289,5.768712784586325,468.92213206252563,94.78857321219296,20.0,3.75,"[11, 11, 7]"
1025,1025,6,6,137,0.03766632619488703,0.003147694300011296,27.874745045478836,14.69074354279038,363.7960003413821,65.59856451989793,9.321167883211679,1.5985401459854014,"[5, 10, 10, 8, 9, 6]"
